Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,_Matches,Season,Squad
Matías Viña,uy URU,"MF,DF",25-130,0.2,8,7,1,1,0,0,1,0,0,0,0,0,5,0,0,Matches,2022-2023,Bournemouth
David Brooks,wls WAL,DF,25-254,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,2022-2023,Bournemouth
Jamal Lowe,jm JAM,"MF,FW",28-241,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,2022-2023,Bournemouth
Owen Bevan,wls WAL,DF,19-144,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,2022-2023,Bournemouth
Emiliano Marcondes,dk DEN,MF,28-010,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,2022-2023,Bournemouth
Squad Total,,,27.0,27.0,10330,9063,1241,309,24,65,356,504,99,57,19,7,7730,26,242,,2022-2023,Bournemouth
Opponent Total,,,27.2,27.0,16683,15458,1177,279,35,91,697,501,200,97,62,2,13805,48,292,,2022-2023,Bournemouth
Gavin Bazunu,ie IRL,GK,21-027,28.0,1017,732,280,80,0,1,0,0,0,0,0,0,610,5,0,Matches,2022-2023,Southampton
James Ward-Prowse,eng ENG,MF,28-138,28.0,1668,1414,251,112,1,12,200,4,116,48,54,0,1294,3,29,Matches,2022-2023,Southampton
Che Adams,sct SCO,FW,26-249,20.8,460,452,7,0,6,7,11,4,0,0,0,0,303,1,17,Matches,2022-2023,Southampton
Mohammed Salisu,gh GHA,DF,23-336,21.9,1195,1074,115,25,1,10,13,87,0,0,0,0,879,6,12,Matches,2022-2023,Southampton
Mohamed Elyounoussi,no NOR,"MF,FW",28-227,19.3,523,508,13,1,6,1,28,9,1,1,0,0,352,2,18,Matches,2022-2023,Southampton
Kyle Walker-Peters,eng ENG,DF,25-340,19.4,862,678,181,7,1,1,42,174,0,0,0,0,640,3,35,Matches,2022-2023,Southampton
Romain Perraud,fr FRA,DF,25-178,17.9,787,647,135,5,1,0,73,129,1,0,0,0,557,5,35,Matches,2022-2023,Southampton
Armel Bella Kotchap,de GER,DF,21-098,16.5,718,694,23,17,1,9,4,5,0,0,0,0,566,1,10,Matches,2022-2023,Southampton
Roméo Lavia,be BEL,MF,19-072,15.2,606,600,6,3,3,6,2,0,3,0,0,2,525,0,12,Matches,2022-2023,Southampton
Adam Armstrong,eng ENG,FW,26-037,12.3,266,235,31,0,0,4,14,3,0,0,0,0,196,0,18,Matches,2022-2023,Southampton
Joe Aribo,ng NGA,"MF,FW",26-241,12.2,354,348,6,0,0,0,7,2,0,0,0,0,258,0,14,Matches,2022-2023,Southampton
Ibrahima Diallo,fr FRA,MF,24-011,8.9,400,393,7,7,0,2,4,0,0,0,0,0,316,0,9,Matches,2022-2023,Southampton
Stuart Armstrong,sct SCO,"MF,FW",30-354,11.1,468,449,18,0,1,3,20,8,0,0,0,0,372,1,18,Matches,2022-2023,Southampton
Jan Bednarek,pl POL,DF,26-341,9.1,425,396,28,21,0,1,1,4,0,0,0,0,350,1,4,Matches,2022-2023,Southampton
Ainsley Maitland-Niles,eng ENG,"DF,MF",25-202,10.7,453,401,50,7,1,2,7,43,0,0,0,0,360,2,7,Matches,2022-2023,Southampton
Duje Ćaleta-Car,hr CRO,DF,26-183,8.0,414,393,18,13,0,0,1,1,0,0,0,0,351,3,1,Matches,2022-2023,Southampton
Lyanco,br BRA,DF,26-046,7.8,343,307,35,8,1,2,3,27,0,0,0,0,242,1,4,Matches,2022-2023,Southampton
Moussa Djenepo,ml MLI,"DF,FW",24-277,6.4,213,187,25,3,0,2,12,22,0,0,0,0,157,1,9,Matches,2022-2023,Southampton
Kamaldeen Sulemana,gh GHA,"FW,MF",21-032,5.8,157,152,3,0,1,1,10,1,0,0,0,0,113,2,5,Matches,2022-2023,Southampton
Samuel Edozie,eng ENG,"FW,MF",20-050,6.0,151,150,0,0,1,0,10,0,0,0,0,0,102,1,10,Matches,2022-2023,Southampton
Theo Walcott,eng ENG,"FW,MF",34-003,5.2,117,113,4,0,0,0,11,1,0,0,0,0,73,0,3,Matches,2022-2023,Southampton
Carlos Alcaraz,ar ARG,MF,20-109,3.6,110,109,1,0,0,2,0,0,0,0,0,0,89,0,3,Matches,2022-2023,Southampton
Sekou Mara,fr FRA,"FW,MF",20-232,5.0,87,84,2,0,1,0,1,0,0,0,0,0,58,1,4,Matches,2022-2023,Southampton
Paul Onuachu,ng NGA,FW,28-295,3.0,63,63,0,0,0,2,0,0,0,0,0,0,44,0,2,Matches,2022-2023,Southampton
James Bree,eng ENG,DF,25-159,2.2,122,99,23,2,0,1,12,21,0,0,0,0,85,0,3,Matches,2022-2023,Southampton
Juan Larios,es ESP,DF,19-066,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2,Matches,2022-2023,Southampton
Oriol Romeu,es ESP,MF,31-176,0.8,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0,Matches,2022-2023,Southampton
Yan Valery,tn TUN,DF,24-025,0.5,23,23,0,0,0,0,1,0,0,0,0,0,15,0,1,Matches,2022-2023,Southampton
Jack Stephens,eng ENG,DF,29-051,0.5,28,25,3,1,0,0,0,2,0,0,0,0,23,0,0,Matches,2022-2023,Southampton
Mislav Oršić,hr CRO,MF,30-080,0.1,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches,2022-2023,Southampton
Nathan Redmond,eng ENG,DF,29-013,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,2022-2023,Southampton
Squad Total,,,25.1,28.0,12146,10818,1289,312,26,69,493,571,121,49,54,2,9023,39,285,,2022-2023,Southampton
Opponent Total,,,27.4,28.0,14946,13551,1355,365,34,134,487,603,146,51,54,3,11738,40,306,,2022-2023,Southampton
Nick Pope,eng ENG,GK,29.0,36.0,1088,655,421,138,0,3,0,0,0,0,0,0,556,12,0,Matches,2021-2022,Burnley
Dwight McNeil,eng ENG,MF,21.0,34.5,1154,1042,106,46,9,15,199,10,48,38,5,0,782,6,51,Matches,2021-2022,Burnley
James Tarkowski,eng ENG,DF,28.0,34.5,1190,1160,25,21,1,34,1,4,0,0,0,0,816,5,7,Matches,2021-2022,Burnley
Josh Brownhill,eng ENG,MF,25.0,32.8,1196,1114,70,22,1,10,53,6,22,20,2,0,891,12,22,Matches,2021-2022,Burnley
Charlie Taylor,eng ENG,DF,27.0,30.3,1375,1070,294,14,0,7,104,280,0,0,0,0,968,11,39,Matches,2021-2022,Burnley
Ashley Westwood,eng ENG,MF,31.0,25.4,1254,1056,183,49,7,10,122,4,73,64,3,1,871,15,22,Matches,2021-2022,Burnley
Ben Mee,eng ENG,DF,31.0,20.4,763,734,26,21,0,17,4,5,0,0,0,0,535,3,12,Matches,2021-2022,Burnley
Maxwel Cornet,ci CIV,"FW,MF",24.0,19.6,437,393,44,3,3,3,55,5,34,26,4,0,281,0,24,Matches,2021-2022,Burnley
Matthew Lowton,eng ENG,DF,32.0,19.7,887,682,200,18,4,11,51,182,0,0,0,0,599,5,25,Matches,2021-2022,Burnley
Jack Cork,eng ENG,MF,32.0,18.6,577,567,7,3,0,5,8,1,0,0,0,0,423,3,10,Matches,2021-2022,Burnley
Connor Roberts,wls WAL,DF,25.0,18.8,863,664,197,9,1,4,29,186,2,0,0,0,579,2,15,Matches,2021-2022,Burnley
Nathan Collins,ie IRL,DF,20.0,18.6,652,626,23,7,1,4,3,16,0,0,0,0,448,3,3,Matches,2021-2022,Burnley
Aaron Lennon,eng ENG,"MF,FW",34.0,17.2,382,370,9,1,0,1,40,3,2,2,0,0,252,3,19,Matches,2021-2022,Burnley
Wout Weghorst,nl NED,FW,28.0,16.1,434,430,1,0,0,1,4,1,0,0,0,0,276,3,22,Matches,2021-2022,Burnley
Chris Wood,nz NZL,FW,29.0,15.2,310,307,2,0,0,2,5,0,1,1,0,0,178,1,12,Matches,2021-2022,Burnley
Jay Rodriguez,eng ENG,FW,32.0,15.4,313,307,3,0,1,1,7,1,0,0,0,0,185,3,10,Matches,2021-2022,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,30.0,12.2,341,336,2,0,2,2,44,1,1,1,0,0,209,3,17,Matches,2021-2022,Burnley
Ashley Barnes,eng ENG,FW,31.0,9.0,198,191,1,0,1,1,2,0,0,0,0,0,122,6,6,Matches,2021-2022,Burnley
Erik Pieters,nl NED,DF,32.0,8.1,348,266,79,2,1,3,14,77,0,0,0,0,242,3,14,Matches,2021-2022,Burnley
Matěj Vydra,cz CZE,FW,29.0,7.5,107,105,1,0,0,0,2,1,0,0,0,0,75,1,1,Matches,2021-2022,Burnley
Kevin Long,ie IRL,DF,30.0,4.6,102,101,1,1,0,0,0,0,0,0,0,0,79,0,1,Matches,2021-2022,Burnley
Wayne Hennessey,wls WAL,GK,34.0,2.0,79,42,36,15,0,0,0,0,0,0,0,0,41,1,1,Matches,2021-2022,Burnley
Dale Stephens,eng ENG,MF,32.0,1.4,57,57,0,0,0,1,0,0,0,0,0,0,46,0,1,Matches,2021-2022,Burnley
Squad Total,,,28.5,38.0,14107,12275,1731,370,32,135,747,783,183,152,14,1,9454,101,334,,2021-2022,Burnley
Opponent Total,,,26.7,38.0,21508,19529,1925,473,44,168,861,846,265,95,79,5,16821,54,364,,2021-2022,Burnley
Moussa Sissoko,fr FRA,MF,31.0,35.8,1188,1148,36,20,5,8,26,14,0,0,0,0,922,4,27,Matches,2021-2022,Watford
Emmanuel Dennis,ng NGA,"FW,MF",23.0,28.7,628,593,31,1,6,0,39,10,6,0,3,0,411,4,35,Matches,2021-2022,Watford
Craig Cathcart,nir NIR,DF,32.0,26.6,953,896,55,11,0,13,4,44,0,0,0,0,767,2,5,Matches,2021-2022,Watford
Joshua King,no NOR,FW,29.0,25.0,519,479,34,0,3,2,13,1,0,0,0,0,369,6,11,Matches,2021-2022,Watford
Ben Foster,eng ENG,GK,38.0,26.0,886,552,328,105,0,3,0,0,0,0,0,0,428,6,1,Matches,2021-2022,Watford
Kiko Femenía,es ESP,DF,30.0,23.8,1228,917,308,29,0,1,106,242,37,25,11,0,867,3,23,Matches,2021-2022,Watford
Juraj Kucka,sk SVK,MF,34.0,21.3,713,684,28,7,1,7,16,18,1,0,1,0,485,1,16,Matches,2021-2022,Watford
Ismaila Sarr,sn SEN,"FW,MF",23.0,20.7,478,468,9,1,1,1,61,3,0,0,0,0,332,1,25,Matches,2021-2022,Watford
Tom Cleverley,eng ENG,MF,31.0,18.0,658,569,87,27,1,3,54,6,32,19,9,2,479,2,12,Matches,2021-2022,Watford
Samir Santos,br BRA,DF,26.0,18.6,669,655,12,12,0,5,0,0,0,0,0,0,538,2,3,Matches,2021-2022,Watford
Hassane Kamara,ci CIV,DF,27.0,18.0,917,725,188,6,3,0,23,182,0,0,0,0,637,4,30,Matches,2021-2022,Watford
Imran Louza,ma MAR,MF,22.0,15.7,711,627,84,40,2,7,54,7,31,23,6,0,521,0,9,Matches,2021-2022,Watford
João Pedro,br BRA,"FW,MF",19.0,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,Matches,2021-2022,Watford
William Troost-Ekong,ng NGA,DF,27.0,15.4,604,589,14,12,0,16,0,2,0,0,0,0,466,1,8,Matches,2021-2022,Watford
Adam Masina,ma MAR,DF,27.0,12.0,549,437,111,11,0,7,30,96,4,3,0,1,375,1,7,Matches,2021-2022,Watford
Christian Kabasele,be BEL,DF,30.0,13.3,474,465,9,5,0,2,1,4,0,0,0,0,373,0,1,Matches,2021-2022,Watford
Daniel Bachmann,at AUT,GK,27.0,12.0,364,237,125,38,0,0,0,0,0,0,0,0,216,2,0,Matches,2021-2022,Watford
Cucho,co COL,"FW,MF",22.0,12.7,394,359,35,7,1,5,52,5,16,6,8,0,239,0,18,Matches,2021-2022,Watford
Jeremy Ngakia,eng ENG,DF,20.0,10.0,442,352,87,6,1,1,25,78,3,0,3,0,322,3,15,Matches,2021-2022,Watford
Edo Kayembe,cd COD,MF,23.0,8.9,442,432,10,6,2,7,8,1,3,2,1,0,374,0,11,Matches,2021-2022,Watford
Ken Sema,se SWE,"MF,FW",27.0,9.5,224,202,22,8,0,2,31,5,9,6,1,0,140,0,15,Matches,2021-2022,Watford
Danny Rose,eng ENG,DF,31.0,7.7,340,225,113,18,4,5,24,87,8,5,3,0,227,2,11,Matches,2021-2022,Watford
Francisco Sierralta,cl CHI,DF,24.0,4.7,183,179,3,3,0,0,0,0,0,0,0,0,142,1,1,Matches,2021-2022,Watford
Oghenekaro Etebo,ng NGA,MF,25.0,4.5,168,156,11,11,0,2,2,0,0,0,0,0,151,1,1,Matches,2021-2022,Watford
Ozan Tufan,tr TUR,MF,26.0,3.7,122,111,11,3,1,0,7,0,5,1,1,1,85,0,6,Matches,2021-2022,Watford
Samuel Kalu,ng NGA,FW,23.0,2.5,69,63,6,4,0,0,8,0,2,0,2,0,56,0,0,Matches,2021-2022,Watford
Nicolas Nkoulou,cm CMR,DF,31.0,1.9,57,57,0,0,0,0,0,0,0,0,0,0,50,0,1,Matches,2021-2022,Watford
Dan Gosling,eng ENG,MF,31.0,1.8,65,64,0,0,0,1,1,0,0,0,0,0,55,1,2,Matches,2021-2022,Watford
Ashley Fletcher,eng ENG,FW,25.0,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches,2021-2022,Watford
Troy Deeney,eng ENG,FW,33.0,0.3,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,2021-2022,Watford
Squad Total,,,28.4,38.0,14640,12800,1787,394,35,101,610,808,161,90,50,4,10423,53,317,,2021-2022,Watford
Opponent Total,,,26.8,38.0,21809,19879,1875,469,69,174,801,850,234,115,86,8,17339,55,332,,2021-2022,Watford
Teemu Pukki,fi FIN,FW,31.0,36.1,540,444,95,0,2,2,13,2,0,0,0,0,399,1,22,Matches,2021-2022,Norwich City
Grant Hanley,sct SCO,DF,29.0,32.2,1310,1250,60,60,1,8,0,0,0,0,0,0,1089,0,6,Matches,2021-2022,Norwich City
Max Aarons,eng ENG,DF,21.0,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,Matches,2021-2022,Norwich City
Kenny McLean,sct SCO,MF,29.0,30.1,1090,1054,31,15,4,11,37,13,1,1,0,0,786,5,25,Matches,2021-2022,Norwich City
Tim Krul,nl NED,GK,33.0,29.0,1073,741,330,106,1,4,0,0,0,0,0,0,759,2,0,Matches,2021-2022,Norwich City
Ben Gibson,eng ENG,DF,28.0,27.7,1382,1319,57,47,0,10,1,9,0,0,0,0,1117,6,11,Matches,2021-2022,Norwich City
Pierre Lees-Melou,fr FRA,MF,28.0,25.2,1033,1012,20,8,7,28,33,9,1,1,0,0,807,1,24,Matches,2021-2022,Norwich City
Milot Rashica,xk KVX,"FW,MF",25.0,24.8,602,521,78,23,3,6,128,12,43,22,15,0,363,3,15,Matches,2021-2022,Norwich City
Brandon Williams,eng ENG,DF,20.0,23.6,1130,927,197,21,4,7,14,176,0,0,0,0,899,6,14,Matches,2021-2022,Norwich City
Billy Gilmour,sct SCO,MF,20.0,20.6,1243,1110,130,41,2,22,98,6,64,25,36,2,991,3,15,Matches,2021-2022,Norwich City
Mathias Normann,no NOR,MF,25.0,18.3,795,727,65,33,8,21,34,11,20,13,3,0,546,3,16,Matches,2021-2022,Norwich City
Josh Sargent,us USA,"FW,MF",21.0,17.5,410,401,9,0,1,0,11,6,0,0,0,0,292,0,17,Matches,2021-2022,Norwich City
Dimitris Giannoulis,gr GRE,DF,25.0,13.0,714,585,127,8,0,3,44,115,4,4,0,0,530,2,15,Matches,2021-2022,Norwich City
Sam Byram,eng ENG,DF,27.0,11.4,515,441,73,9,0,2,9,64,0,0,0,0,393,1,9,Matches,2021-2022,Norwich City
Ozan Kabak,tr TUR,DF,21.0,10.2,431,419,12,11,0,4,1,1,0,0,0,0,350,0,6,Matches,2021-2022,Norwich City
Kieran Dowell,eng ENG,"FW,MF",23.0,10.1,334,304,28,11,3,5,38,1,16,13,2,0,223,2,12,Matches,2021-2022,Norwich City
Angus Gunn,eng ENG,GK,25.0,9.0,307,177,128,42,0,1,0,0,0,0,0,0,208,2,0,Matches,2021-2022,Norwich City
Lukas Rupp,de GER,MF,30.0,8.5,391,385,3,2,2,2,3,1,0,0,0,0,322,3,15,Matches,2021-2022,Norwich City
Adam Idah,ie IRL,"FW,MF",20.0,6.9,150,143,5,0,0,1,13,3,0,0,0,0,95,2,11,Matches,2021-2022,Norwich City
Jakob Sørensen,dk DEN,"MF,DF",23.0,6.7,309,299,9,4,0,5,2,4,1,0,1,0,251,1,4,Matches,2021-2022,Norwich City
Przemysław Płacheta,pl POL,"FW,MF",23.0,5.6,163,142,19,1,1,3,23,6,12,8,3,0,109,2,11,Matches,2021-2022,Norwich City
Todd Cantwell,eng ENG,"FW,MF",23.0,4.9,157,148,9,5,4,1,3,3,0,0,0,0,130,0,3,Matches,2021-2022,Norwich City
Andrew Omobamidele,ie IRL,DF,19.0,4.2,235,220,15,7,0,1,0,8,0,0,0,0,197,0,2,Matches,2021-2022,Norwich City
Christos Tzolis,gr GRE,"FW,MF",19.0,3.7,104,102,2,0,0,2,7,1,1,1,0,0,75,0,5,Matches,2021-2022,Norwich City
Christoph Zimmermann,de GER,DF,28.0,1.7,63,60,3,3,0,0,0,0,0,0,0,0,46,0,1,Matches,2021-2022,Norwich City
Tony Springett,eng ENG,"MF,FW",18.0,1.6,38,38,0,0,0,0,2,0,0,0,0,0,25,0,3,Matches,2021-2022,Norwich City
Jon Rowe,eng ENG,"FW,MF",18.0,2.5,72,68,2,0,1,0,4,0,2,2,0,0,48,2,4,Matches,2021-2022,Norwich City
Bali Mumba,eng ENG,DF,19.0,0.5,10,9,0,0,1,0,0,0,0,0,0,0,7,1,0,Matches,2021-2022,Norwich City
Squad Total,,,26.2,38.0,16070,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306,,2021-2022,Norwich City
Opponent Total,,,26.8,38.0,21657,19892,1709,380,77,162,793,784,251,131,78,1,17698,56,326,,2021-2022,Norwich City
Alphonse Areola,fr FRA,GK,27.0,36.0,1014,663,348,97,0,0,0,0,0,0,0,0,746,3,0,Matches,2020-2021,Fulham
Tosin Adarabioyo,eng ENG,DF,22.0,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,Matches,2020-2021,Fulham
Ademola Lookman,ng NGA,"FW,MF",22.0,30.5,1199,1035,160,37,6,3,134,12,84,33,29,8,892,4,36,Matches,2020-2021,Fulham
Ola Aina,ng NGA,DF,23.0,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Matches,2020-2021,Fulham
Joachim Andersen,dk DEN,DF,24.0,30.3,1993,1902,83,68,0,35,12,15,0,0,0,0,1609,8,13,Matches,2020-2021,Fulham
Andre-Frank Zambo Anguissa,cm CMR,MF,24.0,28.7,1434,1417,17,12,2,5,13,5,0,0,0,0,1201,0,22,Matches,2020-2021,Fulham
Bobby Reid,jm JAM,"MF,FW",27.0,26.4,830,771,56,6,2,5,41,26,1,1,0,0,615,3,22,Matches,2020-2021,Fulham
Ivan Cavaleiro,pt POR,FW,26.0,27.5,857,770,85,26,0,4,122,9,42,15,24,2,589,2,26,Matches,2020-2021,Fulham
Harrison Reed,eng ENG,MF,25.0,25.0,1516,1418,96,71,0,2,27,10,12,2,4,3,1288,2,19,Matches,2020-2021,Fulham
Antonee Robinson,us USA,DF,22.0,24.0,1385,1139,243,9,0,2,101,234,0,0,0,0,974,3,36,Matches,2020-2021,Fulham
Ruben Loftus-Cheek,eng ENG,"MF,FW",24.0,21.2,722,714,6,3,2,0,9,2,1,0,0,0,578,2,20,Matches,2020-2021,Fulham
Mario Lemina,ga GAB,MF,26.0,18.9,897,878,17,13,1,6,4,4,0,0,0,0,744,2,8,Matches,2020-2021,Fulham
Kenny Tete,nl NED,"DF,MF",24.0,16.5,879,758,119,4,0,3,72,115,0,0,0,0,636,2,42,Matches,2020-2021,Fulham
Aleksandar Mitrović,rs SRB,FW,25.0,15.6,388,364,22,1,2,1,4,4,1,0,0,0,284,2,11,Matches,2020-2021,Fulham
Josh Maja,ng NGA,FW,21.0,9.0,181,178,3,0,0,0,0,1,0,0,0,0,154,0,6,Matches,2020-2021,Fulham
Tom Cairney,sct SCO,MF,29.0,8.4,632,593,38,20,1,7,37,0,16,3,10,1,560,1,6,Matches,2020-2021,Fulham
Joe Bryan,eng ENG,"DF,MF",26.0,7.4,430,341,87,14,1,1,48,66,7,0,6,1,298,2,13,Matches,2020-2021,Fulham
Tim Ream,us USA,DF,32.0,7.0,468,467,1,1,0,6,0,0,0,0,0,0,424,0,1,Matches,2020-2021,Fulham
Josh Onomah,eng ENG,MF,23.0,4.2,172,170,2,0,0,0,2,0,0,0,0,0,153,0,3,Matches,2020-2021,Fulham
Denis Odoi,gh GHA,DF,32.0,3.0,190,166,23,7,0,1,5,16,0,0,0,0,156,1,3,Matches,2020-2021,Fulham
Michael Hector,jm JAM,DF,28.0,2.9,187,176,11,10,0,1,0,1,0,0,0,0,148,0,1,Matches,2020-2021,Fulham
Fabio Carvalho,pt POR,"MF,FW",17.0,2.8,89,84,5,0,0,0,4,0,0,0,0,0,67,0,7,Matches,2020-2021,Fulham
Aboubakar Kamara,mr MTN,"FW,MF",25.0,3.5,127,122,4,0,0,1,13,1,0,0,0,0,86,1,3,Matches,2020-2021,Fulham
Marek Rodák,sk SVK,GK,23.0,2.0,47,38,9,2,0,1,0,0,0,0,0,0,39,0,0,Matches,2020-2021,Fulham
Maxime Le Marchand,fr FRA,DF,30.0,1.4,85,83,2,2,0,4,0,0,0,0,0,0,78,0,0,Matches,2020-2021,Fulham
Neeskens Kebano,cd COD,"FW,MF",28.0,1.3,43,41,2,2,0,0,7,0,0,0,0,0,32,0,2,Matches,2020-2021,Fulham
Terence Kongolo,nl NED,DF,26.0,1.0,45,44,1,1,0,0,1,0,0,0,0,0,37,0,1,Matches,2020-2021,Fulham
Tyrese Francois,au AUS,DF,20.0,0.2,15,13,2,0,0,0,0,2,0,0,0,0,14,0,0,Matches,2020-2021,Fulham
Squad Total,,,25.2,38.0,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,,2020-2021,Fulham
Opponent Total,,,26.6,38.0,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326,,2020-2021,Fulham
Aaron Ramsdale,eng ENG,GK,22.0,38.0,1153,733,414,133,0,5,0,0,0,0,0,0,569,6,1,Matches,2020-2021,Sheffield United
George Baldock,gr GRE,DF,27.0,31.0,1153,954,197,5,1,1,62,192,0,0,0,0,888,2,47,Matches,2020-2021,Sheffield United
Chris Basham,eng ENG,"DF,MF",32.0,28.6,1153,1071,80,10,0,4,25,69,0,0,0,0,939,2,16,Matches,2020-2021,Sheffield United
Enda Stevens,ie IRL,DF,30.0,30.0,1459,1238,206,11,0,9,64,195,0,0,0,0,1108,15,31,Matches,2020-2021,Sheffield United
John Egan,ie IRL,DF,27.0,29.2,1135,1109,22,18,0,6,4,4,0,0,0,0,923,4,5,Matches,2020-2021,Sheffield United
John Fleck,sct SCO,MF,28.0,28.6,1245,1122,119,31,2,5,96,6,61,39,9,4,971,4,29,Matches,2020-2021,Sheffield United
David McGoldrick,ie IRL,"FW,MF",32.0,26.6,947,919,24,4,1,7,21,13,0,0,0,0,697,4,18,Matches,2020-2021,Sheffield United
Oliver Norwood,nir NIR,MF,29.0,24.7,1532,1388,132,67,1,25,114,1,64,40,16,0,1205,12,15,Matches,2020-2021,Sheffield United
Ethan Ampadu,wls WAL,"DF,MF",19.0,23.2,1087,1002,83,18,0,15,19,60,5,5,0,0,870,2,14,Matches,2020-2021,Sheffield United
John Lundstram,eng ENG,MF,26.0,22.6,1082,1002,76,15,1,15,71,8,25,21,4,0,859,4,21,Matches,2020-2021,Sheffield United
Ben Osborn,eng ENG,"MF,DF",25.0,17.8,859,786,71,10,2,5,68,46,13,11,0,0,660,2,29,Matches,2020-2021,Sheffield United
Oliver Burke,sct SCO,FW,23.0,14.1,262,249,13,0,1,1,10,0,0,0,0,0,178,0,8,Matches,2020-2021,Sheffield United
Sander Berge,no NOR,MF,22.0,12.4,464,454,8,3,0,3,23,3,2,2,0,0,378,2,9,Matches,2020-2021,Sheffield United
Oliver McBurnie,sct SCO,FW,24.0,14.7,447,442,2,1,1,0,4,0,0,0,0,0,253,3,14,Matches,2020-2021,Sheffield United
Rhian Brewster,eng ENG,"FW,MF",20.0,12.5,225,212,11,0,2,3,16,0,0,0,0,0,157,2,6,Matches,2020-2021,Sheffield United
Jayden Bogle,eng ENG,"DF,MF",20.0,12.3,387,324,62,0,0,0,12,62,0,0,0,0,296,1,11,Matches,2020-2021,Sheffield United
Kean Bryan,eng ENG,DF,23.0,11.2,486,461,24,3,0,9,17,21,0,0,0,0,333,1,12,Matches,2020-2021,Sheffield United
Jack Robinson,eng ENG,DF,26.0,9.7,470,422,47,7,0,0,6,40,0,0,0,0,364,1,4,Matches,2020-2021,Sheffield United
Billy Sharp,eng ENG,FW,34.0,8.2,123,109,11,1,1,0,8,0,0,0,0,0,85,3,6,Matches,2020-2021,Sheffield United
Max Lowe,eng ENG,DF,23.0,6.1,221,194,25,0,0,0,22,25,0,0,0,0,147,2,7,Matches,2020-2021,Sheffield United
Phil Jagielka,eng ENG,DF,37.0,5.8,209,196,13,9,0,2,1,4,0,0,0,0,148,0,2,Matches,2020-2021,Sheffield United
Daniel Jebbison,eng ENG,FW,17.0,3.2,36,36,0,0,0,0,1,0,0,0,0,0,24,0,1,Matches,2020-2021,Sheffield United
Lys Mousset,fr FRA,"FW,MF",24.0,3.3,46,38,7,0,0,0,1,0,0,0,0,0,34,1,0,Matches,2020-2021,Sheffield United
Jack O'Connell,eng ENG,DF,26.0,2.0,79,77,2,1,0,0,1,1,0,0,0,0,56,0,2,Matches,2020-2021,Sheffield United
Iliman Ndiaye,sn SEN,MF,20.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,2020-2021,Sheffield United
Antwoine Hackford,eng ENG,DF,16.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,2020-2021,Sheffield United
Femi Seriki,eng ENG,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021,Sheffield United
Squad Total,,,26.7,38.0,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308,,2020-2021,Sheffield United
Opponent Total,,,26.7,38.0,23109,21188,1864,502,24,163,718,841,243,81,101,18,18988,57,340,,2020-2021,Sheffield United
Sam Johnstone,eng ENG,GK,27.0,37.0,1297,799,491,195,0,8,0,0,0,0,0,0,655,7,1,Matches,2020-2021,West Bromwich Albion
Darnell Furlong,eng ENG,DF,24.0,32.6,1204,900,295,15,0,3,99,280,0,0,0,0,682,9,33,Matches,2020-2021,West Bromwich Albion
Semi Ajayi,ng NGA,DF,26.0,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,Matches,2020-2021,West Bromwich Albion
Matheus Pereira,pt POR,"MF,FW",24.0,28.6,1097,907,184,75,9,15,145,6,85,43,8,14,790,6,26,Matches,2020-2021,West Bromwich Albion
Kyle Bartley,eng ENG,DF,29.0,28.7,842,805,34,23,0,7,1,11,0,0,0,0,647,3,5,Matches,2020-2021,West Bromwich Albion
Conor Gallagher,eng ENG,MF,20.0,28.1,960,897,60,15,1,6,66,1,27,18,3,1,737,3,20,Matches,2020-2021,West Bromwich Albion
